_main                    1         MAIN                     -----     mainFunction             yes  -----                    
)                        18        CL                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     rightHandSide_type1      no   arithmeticExpression     
+                        18        PLUS                     -----     operator_lowPrecedence   yes  -----                    
-----                    -----     -----                    -----     z                        no   operator_lowPrecedence   
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
(                        18        OP                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
(                        18        OP                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
13                       18        NUM                      13        var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     factor                   no   arithmeticExpression     
-                        18        MINUS                    -----     operator_lowPrecedence   yes  -----                    
-----                    -----     -----                    -----     z                        no   operator_lowPrecedence   
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
a                        18        ID                       -----     var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     EPS                      -----     m                        yes  -----                    
-----                    -----     -----                    -----     var                      no   m                        
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     z                        no   arithmeticExpression     
-----                    -----     EPS                      -----     z                        yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
)                        18        CL                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
*                        18        MUL                      -----     operator_highPrecedence  yes  -----                    
-----                    -----     -----                    -----     p                        no   operator_highPrecedence  
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
(                        18        OP                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
u                        18        ID                       -----     var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     EPS                      -----     m                        yes  -----                    
-----                    -----     -----                    -----     var                      no   m                        
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     factor                   no   arithmeticExpression     
+                        18        PLUS                     -----     operator_lowPrecedence   yes  -----                    
-----                    -----     -----                    -----     z                        no   operator_lowPrecedence   
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
g                        18        ID                       -----     var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     EPS                      -----     m                        yes  -----                    
-----                    -----     -----                    -----     var                      no   m                        
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     z                        no   arithmeticExpression     
-----                    -----     EPS                      -----     z                        yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
)                        18        CL                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     p                        no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     factor                   no   arithmeticExpression     
-----                    -----     EPS                      -----     z                        yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
)                        18        CL                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     z                        no   arithmeticExpression     
-----                    -----     EPS                      -----     z                        yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
-----                    -----     -----                    -----     assignmentStmt_type1     no   rightHandSide_type1      
;                        18        SEMICOLON                -----     assignmentStmt_type1     yes  -----                    
-----                    -----     -----                    -----     stmtOrFunctionDef        no   stmt                     
-----                    -----     -----                    -----     stmtsAndFunctionDefs     no   stmtOrFunctionDef        
-----                    -----     -----                    -----     x                        no   stmtsAndFunctionDefs     
g                        19        ID                       -----     leftHandSide_singleVar   yes  -----                    
-----                    -----     -----                    -----     assignmentStmt_type1     no   leftHandSide_singleVar   
-----                    -----     -----                    -----     stmt                     no   assignmentStmt_type1     
=                        19        ASSIGNOP                 -----     assignmentStmt_type1     yes  -----                    
(                        19        OP                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
(                        19        OP                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
a                        19        ID                       -----     var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     EPS                      -----     m                        yes  -----                    
-----                    -----     -----                    -----     var                      no   m                        
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     factor                   no   arithmeticExpression     
-                        19        MINUS                    -----     operator_lowPrecedence   yes  -----                    
-----                    -----     -----                    -----     z                        no   operator_lowPrecedence   
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
g                        19        ID                       -----     var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     EPS                      -----     m                        yes  -----                    
-----                    -----     -----                    -----     var                      no   m                        
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     z                        no   arithmeticExpression     
-----                    -----     EPS                      -----     z                        yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
)                        19        CL                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
*                        19        MUL                      -----     operator_highPrecedence  yes  -----                    
-----                    -----     -----                    -----     p                        no   operator_highPrecedence  
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
(                        19        OP                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
h                        19        ID                       -----     var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     EPS                      -----     m                        yes  -----                    
-----                    -----     -----                    -----     var                      no   m                        
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     factor                   no   arithmeticExpression     
+                        19        PLUS                     -----     operator_lowPrecedence   yes  -----                    
-----                    -----     -----                    -----     z                        no   operator_lowPrecedence   
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
u                        19        ID                       -----     var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     EPS                      -----     m                        yes  -----                    
-----                    -----     -----                    -----     var                      no   m                        
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     z                        no   arithmeticExpression     
-----                    -----     EPS                      -----     z                        yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
)                        19        CL                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     p                        no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     factor                   no   arithmeticExpression     
-----                    -----     EPS                      -----     z                        yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
)                        19        CL                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     rightHandSide_type1      no   arithmeticExpression     
-                        19        MINUS                    -----     operator_lowPrecedence   yes  -----                    
-----                    -----     -----                    -----     z                        no   operator_lowPrecedence   
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
(                        19        OP                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
(                        19        OP                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
10                       19        NUM                      10        var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     factor                   no   arithmeticExpression     
+                        19        PLUS                     -----     operator_lowPrecedence   yes  -----                    
-----                    -----     -----                    -----     z                        no   operator_lowPrecedence   
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
a                        19        ID                       -----     var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     EPS                      -----     m                        yes  -----                    
-----                    -----     -----                    -----     var                      no   m                        
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     z                        no   arithmeticExpression     
-----                    -----     EPS                      -----     z                        yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
)                        19        CL                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
*                        19        MUL                      -----     operator_highPrecedence  yes  -----                    
-----                    -----     -----                    -----     p                        no   operator_highPrecedence  
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
(                        19        OP                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
u                        19        ID                       -----     var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     EPS                      -----     m                        yes  -----                    
-----                    -----     -----                    -----     var                      no   m                        
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     factor                   no   arithmeticExpression     
+                        19        PLUS                     -----     operator_lowPrecedence   yes  -----                    
-----                    -----     -----                    -----     z                        no   operator_lowPrecedence   
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
g                        19        ID                       -----     var                      yes  -----                    
-----                    -----     -----                    -----     factor                   no   var                      
-----                    -----     EPS                      -----     m                        yes  -----                    
-----                    -----     -----                    -----     var                      no   m                        
-----                    -----     -----                    -----     arithmeticTerm           no   factor                   
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     z                        no   arithmeticExpression     
-----                    -----     EPS                      -----     z                        yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
)                        19        CL                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     p                        no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     factor                   no   arithmeticExpression     
-----                    -----     EPS                      -----     z                        yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
)                        19        CL                       -----     factor                   yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   arithmeticTerm           
-----                    -----     EPS                      -----     p                        yes  -----                    
-----                    -----     -----                    -----     arithmeticTerm           no   p                        
-----                    -----     -----                    -----     z                        no   arithmeticExpression     
-----                    -----     EPS                      -----     z                        yes  -----                    
-----                    -----     -----                    -----     arithmeticExpression     no   z                        
-----                    -----     -----                    -----     assignmentStmt_type1     no   rightHandSide_type1      
;                        19        SEMICOLON                -----     assignmentStmt_type1     yes  -----                    
-----                    -----     -----                    -----     stmtOrFunctionDef        no   stmt                     
-----                    -----     -----                    -----     stmtsAndFunctionDefs     no   stmtOrFunctionDef        
-----                    -----     -----                    -----     x                        no   stmtsAndFunctionDefs     
if                       20        IF                       -----     ifStmt                   yes  -----                    
-----                    -----     -----                    -----     stmt                     no   ifStmt                   
(                        20        OP                       -----     ifStmt                   yes  -----                    
g                        20        ID                       -----     constrainedVars          yes  -----                    
-----                    -----     -----                    -----     booleanExpression        no   constrainedVars          
-----                    -----     -----                    -----     ifStmt                   no   booleanExpression        
-----                    -----     -----                    -----     booleanExpression        no   relationalOp             
-----                    -----     -----                    -----     booleanExpression        no   constrainedVars          
                         0         ASSIGNOP                 -----     ifStmt                   yes  -----                    
-----                    -----     -----                    -----     ifStmt                   no   stmt                     
-----                    -----     -----                    -----     ifStmt                   no   otherStmts               
-----                    -----     -----                    -----     ifStmt                   no   y                        
-----                    -----     -----                    -----     stmtOrFunctionDef        no   stmt                     
-----                    -----     -----                    -----     stmtsAndFunctionDefs     no   stmtOrFunctionDef        
-----                 
